time_step,bearing_temp,engine_speed,engine_load,lub_oil_inlet_temp,lub_oil_pressure,axial_vibration,engine_st_aft_brg_temp1,engine_intermed_shaft_brg_temp,cooling_water_temp,engine_air_temp,status,draft_fore,draft_aft,vs,relative_wind_speed,energy_efficiency_index,rudder_angle,depth
0.000000,0.727459,0.919105,0.628896,0.693143,0.944603,0.858691,0.733349,0.749619,0.833185,0.801490,0.998657,0.024725,0.074463,0.974174,0.249520,0.869944,0.509655,0.074108
0.000012,0.729516,0.918472,0.627371,0.694228,0.943361,0.861548,0.732070,0.756103,0.838032,0.806037,1.000000,0.024104,0.072534,0.971485,0.234526,0.868725,0.509277,0.076756
0.000024,0.728835,0.918039,0.622283,0.693726,0.944447,0.860239,0.735203,0.751357,0.841345,0.805446,0.999300,0.023598,0.066953,0.970390,0.223703,0.868685,0.503301,0.078034
0.000035,0.727551,0.917115,0.621463,0.682514,0.944075,0.854220,0.734988,0.754632,0.840189,0.807604,1.000000,0.021481,0.071172,0.968596,0.227969,0.867100,0.523623,0.081666
0.000047,0.726593,0.915952,0.626812,0.694030,0.945296,0.856230,0.734313,0.745299,0.840404,0.807960,1.000000,0.021956,0.067900,0.970370,0.238101,0.868945,0.525178,0.084337
0.000059,0.721219,0.915982,0.627493,0.683619,0.946807,0.856982,0.741038,0.748983,0.841804,0.810264,0.998742,0.023934,0.074246,0.967586,0.216707,0.868309,0.509061,0.084036
0.000071,0.723363,0.917074,0.625784,0.680901,0.943630,0.855620,0.740291,0.744512,0.840651,0.810001,0.999194,0.020749,0.068295,0.968122,0.221043,0.867854,0.503965,0.087604
0.000082,0.721764,0.917526,0.620152,0.682520,0.944680,0.856889,0.738867,0.744952,0.840676,0.811234,0.999294,0.022185,0.066079,0.962846,0.218415,0.870789,0.506154,0.088545
0.000094,0.721548,0.916622,0.618168,0.697776,0.944348,0.851391,0.739788,0.749800,0.840855,0.813900,1.000000,0.019265,0.066611,0.964279,0.237104,0.869577,0.503586,0.092107
0.000106,0.725969,0.918480,0.619071,0.697430,0.942968,0.847014,0.738946,0.745789,0.840127,0.814135,0.999743,0.018963,0.063605,0.959209,0.244524,0.869791,0.501548,0.093426
0.000118,0.722421,0.918400,0.620015,0.690399,0.944814,0.850512,0.740308,0.746046,0.839569,0.814346,1.000000,0.022691,0.062971,0.958647,0.241412,0.868358,0.500694,0.097103
0.000129,0.723280,0.917734,0.621356,0.680682,0.943460,0.849731,0.743357,0.752698,0.845160,0.815200,0.999446,0.022111,0.067112,0.954265,0.229563,0.869104,0.501442,0.098326
0.000141,0.723246,0.916661,0.616515,0.682451,0.945501,0.849295,0.742722,0.748378,0.846363,0.816330,1.000000,0.020899,0.059170,0.953380,0.233903,0.869979,0.506640,0.099896
0.000153,0.722501,0.916684,0.617723,0.682317,0.944440,0.849115,0.745490,0.747301,0.846269,0.813783,0.999147,0.021390,0.062632,0.956543,0.234506,0.868134,0.508456,0.104178
0.000165,0.722956,0.917054,0.615971,0.681821,0.943904,0.845760,0.746490,0.745869,0.847137,0.813261,0.999346,0.019959,0.061873,0.951350,0.229001,0.867638,0.524617,0.104051
0.000177,0.722201,0.917556,0.642330,0.698829,0.946215,0.857269,0.744005,0.755196,0.846310,0.816766,1.000000,0.018696,0.062096,0.953141,0.218175,0.868041,0.526864,0.107873
0.000188,0.721400,0.917866,0.641089,0.691194,0.945001,0.864385,0.747610,0.743752,0.847680,0.820354,1.000000,0.021077,0.053404,0.954867,0.217893,0.867890,0.474222,0.110459
0.000200,0.727596,0.916005,0.619778,0.695408,0.945343,0.855030,0.750711,0.755401,0.851913,0.821004,1.000000,0.019781,0.057826,0.954740,0.224211,0.867646,0.472151,0.116003
0.000212,0.729080,0.916851,0.607861,0.698426,0.944176,0.842937,0.752992,0.751070,0.856943,0.823651,0.999285,0.015317,0.060824,0.954020,0.202981,0.869567,0.505786,0.115446
0.000224,0.727874,0.917615,0.609894,0.697702,0.944905,0.846221,0.750152,0.750283,0.854700,0.823010,0.998685,0.016554,0.062759,0.953831,0.226273,0.869178,0.511768,0.117609
0.000235,0.729624,0.917585,0.611719,0.698888,0.947188,0.845406,0.750800,0.753963,0.858793,0.823611,1.000000,0.016683,0.059172,0.956264,0.220039,0.867194,0.512987,0.121342
0.000247,0.730686,0.916126,0.611289,0.699107,0.945335,0.846014,0.752399,0.756424,0.859208,0.823708,1.000000,0.017928,0.059559,0.956296,0.226171,0.869864,0.516966,0.123606
0.000259,0.728652,0.916527,0.610922,0.699622,0.947530,0.843952,0.750489,0.754810,0.859547,0.825266,0.999723,0.016487,0.063227,0.950806,0.228017,0.869858,0.510302,0.128041
