step,Df,Da,EeIndex8,Rudder,TrueVwr,Me1Sw_com_temp,Me1Nms,Me1Load,Me1Main_brg_lo_in_press,Me1Axial_vib,Me1Main_brg_lo_in_temp,Me1Thrust_bearing_pad_temp
0,0.499004,0.804628,0.999917,0.499628,0.110930,0.706357,0.225301,0.000000,0.344828,0.007794,0.053798,0.000000
1,0.493526,0.789942,0.999917,0.499628,0.087034,0.706357,0.225301,0.000000,0.172414,0.007794,0.054874,0.000000
2,0.501992,0.800178,0.999917,0.499628,0.090297,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
3,0.495518,0.800623,0.999917,0.499628,0.110477,0.706357,0.225301,0.000000,0.172414,0.007794,0.064558,0.000000
4,0.497510,0.797508,0.999917,0.499628,0.108543,0.732593,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
5,0.496016,0.801068,0.999917,0.499628,0.117304,0.713084,0.225301,0.000000,0.344828,0.007794,0.055950,0.000000
6,0.497012,0.789942,0.999917,0.499599,0.116428,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
7,0.499004,0.794393,0.999917,0.499485,0.113196,0.706357,0.225301,0.000000,0.206897,0.007794,0.064558,0.000000
8,0.498506,0.802403,0.999917,0.499528,0.090901,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
9,0.497510,0.804183,0.999917,0.499513,0.102532,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
10,0.500498,0.797953,0.999917,0.499599,0.105220,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
11,0.499502,0.807299,0.999917,0.499485,0.129660,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
12,0.496514,0.800623,0.999917,0.499485,0.136578,0.706357,0.225301,0.000000,0.172414,0.007794,0.064558,0.000000
13,0.496016,0.814419,0.999917,0.499556,0.135037,0.706357,0.225301,0.000000,0.241379,0.007794,0.064558,0.000000
14,0.500000,0.811749,0.999917,0.499513,0.133345,0.706357,0.225301,0.000000,0.275862,0.007794,0.064558,0.000000
15,0.500498,0.799733,0.999917,0.499599,0.100538,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
16,0.495518,0.801958,0.999917,0.499442,0.100991,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
17,0.493526,0.814419,0.999917,0.499528,0.094949,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
18,0.498008,0.808189,0.999917,0.499485,0.120688,0.706357,0.225301,0.000000,0.241379,0.007794,0.064558,0.000000
19,0.500498,0.814419,0.999917,0.499485,0.144402,0.706357,0.225301,0.000000,0.103448,0.007794,0.064558,0.000000
20,0.500498,0.798398,0.999917,0.499485,0.125189,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
21,0.496016,0.797953,0.999917,0.499384,0.132953,0.706357,0.225301,0.000000,0.275862,0.007794,0.064558,0.000000
22,0.500498,0.803293,0.999917,0.499528,0.144765,0.706357,0.225301,0.000000,0.275862,0.007794,0.064558,0.000000
23,0.499004,0.788607,0.999917,0.499456,0.122984,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
24,0.502988,0.795283,0.999917,0.499370,0.124977,0.706357,0.225301,0.000000,0.344828,0.007794,0.064558,0.000000
25,0.504980,0.774366,0.999917,0.499413,0.108271,0.706357,0.000000,0.057246,0.344828,0.763835,0.061330,0.000000
26,0.500498,0.777036,0.999934,0.499384,0.099994,0.706357,0.225472,0.000000,0.137931,0.042089,0.059824,0.000000
27,0.502490,0.798398,0.999950,0.499485,0.108845,0.706357,0.225301,0.000000,0.137931,0.000000,0.064558,0.000000
28,0.506474,0.801513,0.999967,0.499313,0.101112,0.706357,0.225301,0.000000,0.241379,0.000000,0.064558,0.000000
29,0.502988,0.800178,0.999983,0.309912,0.102381,0.706357,0.299871,0.028968,0.310345,0.140296,0.064558,0.000000
30,0.498008,0.788607,1.000000,0.000000,0.110990,0.706357,0.525570,0.102749,0.344828,0.715511,0.064558,0.000000
31,0.497012,0.800623,0.988814,0.001002,0.114253,0.706357,0.521831,0.092416,0.344828,0.716290,0.074241,0.005634
32,0.494024,0.799733,0.980454,0.205506,0.115401,0.723175,0.564809,0.138264,0.344828,0.703819,0.086077,0.011972
33,0.499502,0.796618,0.977083,0.498683,0.137273,0.706357,0.628773,0.206130,0.344828,0.710834,0.086077,0.023451
34,0.494024,0.792612,0.966178,0.677547,0.126458,0.706357,0.627650,0.212045,0.344828,0.710055,0.086077,0.035211
35,0.488546,0.790832,0.956050,0.436251,0.107728,0.706357,0.649516,0.274068,0.344828,0.713952,0.087153,0.049507
36,0.468625,0.795283,0.950647,0.477424,0.117636,0.706357,0.734564,0.494388,0.344828,0.717069,0.107596,0.068310
37,0.454681,0.799288,0.942039,0.509806,0.119540,0.706357,0.760439,0.555260,0.344828,0.763055,0.107596,0.087535
38,0.431275,0.806409,0.930787,0.515705,0.119630,0.706357,0.786457,0.519715,0.344828,0.793453,0.107596,0.113592
39,0.405378,0.821540,0.918213,0.419716,0.133496,0.706357,0.789016,0.459419,0.344828,0.814497,0.128470,0.142817
40,0.383466,0.816199,0.907027,0.523521,0.101716,0.706357,0.786002,0.481580,0.344828,0.772408,0.129116,0.168099
41,0.362052,0.828215,0.897973,0.380977,0.102441,0.706357,0.786954,0.460354,0.344828,0.799688,0.146331,0.199789
42,0.347112,0.821540,0.889596,0.347120,0.136668,0.706357,0.785931,0.416751,0.344828,0.826189,0.150635,0.220634
43,0.332669,0.808634,0.889397,0.268582,0.122440,0.706357,0.814891,0.552626,0.344828,0.766173,0.150635,0.241901
44,0.320219,0.865154,0.902219,0.004295,0.143466,0.706357,0.910644,0.881782,0.655172,0.833983,0.150635,0.255493
45,0.331175,0.894971,0.908035,0.004366,0.117334,0.706357,0.916929,0.963088,0.689655,0.877631,0.165483,0.281549
46,0.345618,0.902092,0.913421,0.102717,0.076491,0.706357,0.908156,0.948698,0.689655,0.902572,0.184635,0.313521
47,0.357072,0.814419,0.919436,0.546956,0.047459,0.706357,0.926923,0.908692,0.586207,0.878410,0.202281,0.352113
48,0.334163,0.785492,0.882177,0.519226,0.064739,0.706357,0.752563,0.436034,0.482759,0.848012,0.215193,0.387465
49,0.321713,0.769915,0.885812,0.525096,0.101746,0.706357,0.797262,0.408044,0.241379,0.929072,0.215193,0.411761
50,0.312749,0.807744,0.862069,0.523607,0.124283,0.706357,0.711176,0.289193,0.344828,0.781761,0.203142,0.421690
51,0.317231,0.830886,0.814632,0.622173,0.137061,0.706357,0.598789,0.116851,0.206897,0.674981,0.179040,0.418169
52,0.320219,0.823765,0.771657,0.851744,0.168691,0.706357,0.529195,0.075910,0.172414,0.655495,0.141597,0.406901
53,0.332171,0.736983,0.779324,0.997752,0.198024,0.706357,0.526096,0.076414,0.137931,0.654716,0.117710,0.383803
54,0.365040,0.659991,0.799366,0.649631,0.191318,0.706357,0.530716,0.077033,0.103448,0.655495,0.107596,0.360775
55,0.386952,0.758789,0.821423,0.497838,0.158540,0.706357,0.529096,0.077392,0.000000,0.655495,0.086507,0.337465
56,0.393426,0.762795,0.831700,0.497666,0.134312,0.706357,0.526991,0.072097,0.068966,0.663289,0.064558,0.317042
57,0.400896,0.791722,0.677032,0.514860,0.132500,0.689539,0.358375,0.000000,0.206897,0.536243,0.048418,0.297676
58,0.416833,0.795728,0.584224,0.665665,0.129479,0.705684,0.330694,0.000000,0.137931,0.508963,0.034861,0.278521
59,0.419821,0.780596,0.231069,0.900218,0.141230,0.689539,0.342451,0.018031,0.068966,0.484022,0.012266,0.259155
60,0.433267,0.752559,0.856666,0.994961,0.121141,0.673730,0.549483,0.105166,0.344828,0.713172,0.000000,0.240986
61,0.437251,0.693814,0.902748,0.995963,0.123376,0.689539,0.669591,0.299280,0.344828,0.741231,0.007101,0.230141
62,0.434263,0.676457,0.920840,0.879617,0.104133,0.687857,0.777784,0.549791,0.344828,0.790335,0.028621,0.225352
63,0.425299,0.716066,0.918857,0.496765,0.084225,0.672721,0.787196,0.541517,0.344828,0.799688,0.060684,0.230634
64,0.402390,0.755229,0.909803,0.601672,0.088031,0.672721,0.787779,0.545042,0.344828,0.789556,0.096406,0.249507
65,0.375498,0.741433,0.901971,0.548989,0.089692,0.677094,0.813469,0.635171,0.344828,0.795012,0.112546,0.274507
66,0.354084,0.750779,0.897262,0.422980,0.102048,0.683821,0.839345,0.660455,0.344828,0.839439,0.129116,0.296972
67,0.317231,0.781486,0.886440,0.514946,0.113558,0.688866,0.840667,0.625917,0.344828,0.823071,0.131698,0.325845
68,0.286853,0.809524,0.876543,0.439973,0.126427,0.672721,0.842330,0.573104,0.344828,0.835542,0.150635,0.347324
69,0.262450,0.820205,0.869025,0.510723,0.137967,0.672721,0.841719,0.533314,0.344828,0.866719,0.150635,0.369507
70,0.245020,0.830441,0.863440,0.505927,0.130778,0.680457,0.839729,0.538855,0.344828,0.853468,0.150635,0.384014
71,0.238048,0.837561,0.858104,0.489249,0.132228,0.706357,0.840980,0.534710,0.344828,0.855027,0.166774,0.397042
72,0.216135,0.846462,0.853758,0.510766,0.120627,0.706357,0.840980,0.531659,0.344828,0.856586,0.172154,0.408451
73,0.192729,0.856698,0.849991,0.490809,0.110839,0.706357,0.838876,0.518492,0.344828,0.858924,0.172154,0.417113
74,0.182271,0.862483,0.846752,0.505383,0.135943,0.706357,0.840980,0.507123,0.344828,0.854248,0.172154,0.422535
75,0.175299,0.877615,0.794805,0.488590,0.133255,0.706357,0.671695,0.178831,0.344828,0.727202,0.172154,0.428662
76,0.194721,0.879840,0.730169,0.455964,0.129116,0.706357,0.555000,0.043891,0.241379,0.603274,0.140951,0.427958
77,0.222112,0.873164,0.708458,0.527930,0.135581,0.706357,0.525811,0.030652,0.310345,0.575214,0.116634,0.410070
78,0.239542,0.867824,0.787667,0.525611,0.136880,0.706357,0.628361,0.112923,0.275862,0.707716,0.107596,0.378169
79,0.252988,0.861148,0.801084,0.490308,0.132469,0.706357,0.635356,0.110347,0.206897,0.725643,0.091672,0.351056
80,0.258466,0.846462,0.839995,0.482305,0.128784,0.706357,0.733966,0.285868,0.344828,0.812159,0.076824,0.329577
81,0.251494,0.835336,0.855807,0.508046,0.123860,0.706357,0.788021,0.394661,0.344828,0.833983,0.054874,0.318451
82,0.234064,0.841121,0.852155,0.498168,0.125491,0.706357,0.789158,0.392071,0.344828,0.832424,0.043039,0.319577
83,0.233566,0.842012,0.849429,0.498797,0.121473,0.706357,0.788447,0.385883,0.344828,0.833203,0.049925,0.326056
84,0.221614,0.836671,0.850635,0.501374,0.124101,0.706357,0.807925,0.458627,0.344828,0.815277,0.069507,0.335070
85,0.203685,0.836671,0.855889,0.508017,0.125582,0.706357,0.837070,0.495251,0.344828,0.874513,0.093609,0.344366
86,0.186753,0.847352,0.852668,0.507602,0.109721,0.706357,0.841150,0.501569,0.344828,0.851910,0.107596,0.355000
87,0.181275,0.849577,0.849974,0.498296,0.105824,0.706357,0.838065,0.492805,0.344828,0.847233,0.122229,0.368662
88,0.178287,0.845127,0.847050,0.507645,0.108332,0.706357,0.839061,0.492517,0.344828,0.851130,0.136217,0.377817
89,0.168825,0.842457,0.844786,0.488204,0.110749,0.706357,0.839601,0.493812,0.344828,0.848012,0.150635,0.391338
90,0.170319,0.841567,0.842539,0.507673,0.115220,0.706357,0.839814,0.488272,0.344828,0.848012,0.150635,0.402676
91,0.170319,0.841121,0.840309,0.512226,0.113467,0.706357,0.840013,0.494877,0.344828,0.846454,0.156660,0.410282
92,0.149900,0.836226,0.837781,0.540987,0.111957,0.713757,0.839914,0.508850,0.344828,0.854248,0.159888,0.416901
93,0.139442,0.852692,0.836839,0.527301,0.111202,0.732593,0.839487,0.474888,0.344828,0.842557,0.150635,0.425845
94,0.165837,0.874499,0.836277,0.511582,0.112501,0.706357,0.840042,0.478155,0.344828,0.836321,0.150635,0.432465
95,0.191235,0.871384,0.835005,0.501231,0.108422,0.706357,0.840482,0.496187,0.344828,0.845674,0.150635,0.438028
96,0.197211,0.878505,0.830907,0.496264,0.102803,0.706357,0.828682,0.472370,0.344828,0.847233,0.132774,0.443662
97,0.202191,0.871384,0.829470,0.488375,0.088665,0.706357,0.829819,0.478630,0.344828,0.849571,0.129116,0.449789
98,0.202191,0.870494,0.826760,0.517838,0.093257,0.706357,0.830957,0.496546,0.344828,0.851130,0.129116,0.450704
99,0.185259,0.853583,0.825157,0.467116,0.094435,0.706357,0.831952,0.486833,0.344828,0.852689,0.138799,0.456127
100,0.147410,0.878950,0.824100,0.502062,0.099571,0.706357,0.831284,0.451288,0.344828,0.844895,0.150635,0.457746
101,0.129980,0.888741,0.824893,0.502162,0.106006,0.720484,0.831383,0.443589,0.344828,0.833983,0.150635,0.464085
102,0.145418,0.896751,0.825884,0.506499,0.094617,0.708712,0.831810,0.447978,0.344828,0.830865,0.150635,0.464789
103,0.149900,0.910547,0.826694,0.512297,0.091747,0.706357,0.831668,0.446539,0.344828,0.839439,0.150635,0.464789
104,0.145916,0.890076,0.827388,0.534129,0.091686,0.722839,0.830644,0.463304,0.344828,0.835542,0.150635,0.464789
105,0.173307,0.901202,0.828462,0.542461,0.109057,0.707030,0.830957,0.463016,0.344828,0.848792,0.150635,0.464789
106,0.198207,0.920783,0.829833,0.499485,0.143043,0.706357,0.830957,0.493668,0.344828,0.851910,0.150635,0.464789
107,0.193725,0.942145,0.829817,0.512798,0.232191,0.706357,0.831952,0.483019,0.344828,0.848012,0.150635,0.467746
108,0.170817,0.919893,0.829057,0.532583,0.680563,0.706357,0.831142,0.470643,0.344828,0.844895,0.150635,0.471831
109,0.166833,0.887405,0.830164,0.505082,0.542747,0.706357,0.831099,0.465463,0.344828,0.847233,0.150635,0.475845
110,0.192231,0.899421,0.832246,0.514889,0.754124,0.706357,0.831852,0.487883,0.344828,0.845674,0.150635,0.478873
111,0.204681,0.915443,0.834129,0.524309,0.778563,0.706357,0.831383,0.488272,0.344828,0.853468,0.150635,0.478873
112,0.217629,0.925679,0.835930,0.506757,0.778140,0.706357,0.832378,0.496129,0.344828,0.854248,0.150635,0.483380
113,0.214641,0.921673,0.836393,0.497853,0.827412,0.706357,0.826265,0.478515,0.344828,0.854248,0.150635,0.485915
114,0.208665,0.904317,0.777506,0.532698,0.914869,0.706357,0.651677,0.144438,0.344828,0.718628,0.150635,0.490493
115,0.224104,0.884735,0.825273,0.523278,0.915685,0.706357,0.769069,0.345445,0.241379,0.815277,0.150635,0.486408
116,0.220120,0.869604,0.840143,0.460517,0.975107,0.706357,0.801982,0.429055,0.206897,0.815277,0.150635,0.473803
117,0.224104,0.867379,0.838409,0.429751,0.855235,0.706357,0.771813,0.358397,0.310345,0.819953,0.136217,0.464789
118,0.242032,0.854918,0.785156,0.555961,0.868105,0.706357,0.636934,0.111987,0.172414,0.694466,0.129116,0.464789
119,0.267928,0.870494,0.800126,0.605194,1.000000,0.706357,0.636934,0.119082,0.103448,0.698363,0.120508,0.455634
120,0.299303,0.856698,0.809428,0.360405,0.916501,0.706357,0.634901,0.122435,0.344828,0.706157,0.105444,0.438028
121,0.307769,0.866044,0.842490,0.532884,0.947042,0.706357,0.710778,0.257015,0.241379,0.775526,0.086077,0.421056
122,0.307271,0.859368,0.873470,0.535332,0.907740,0.706357,0.810555,0.540610,0.344828,0.782541,0.069938,0.408099
